sample_id	gene_name	est_counts	tpm
1	NPM1P5	0.0	0.0
1	NPM1P50	0.0	0.0
1	NPM1P51	0.0	0.0
1	NPM1P52	0.0	0.0
1	NPM1P6	0.0	0.0
1	NPM1P8	0.0	0.0
1	NPM1P9	0.0	0.0
1	NPM2	14.9999915	10.45598853
1	NPM3	13.0	5.869602
1	NPNT	1.0	1.01132
1	NPPA	18.00001	4.464967
1	NPPB	0.0	0.0
1	NPPC	1.0	0.175398
1	NPR1	22.99996	0.926982
1	NPR2	11.000001	1.56106598
1	NPR3	6.00001	1.3493268
1	NPRL2	274.70983	21.036179
1	NPRL3	71.3723628	6.84591062
1	NPS	0.0	0.0
1	NPSR1	1.0	0.296746
1	NPTN	102.00004	18.836733
1	NPTX1	0.0	0.0
1	NPTX2	2.0	0.117318
1	NPTXR	42.6473	1.14354
1	NPVF	0.0	0.0
1	NPW	2.000001	0.658739
1	NPY	0.0	0.0
1	NPY1R	2.0	0.473068
1	NPY2R	0.0	0.0
1	NPY4R	1.0	0.100429
1	NPY5R	0.0	0.0
1	NPY6R	6.0	0.405287
1	NQO1	7.23705	0.553829
1	NQO2	147.99746	5.44652
1	NR0B1	0.0	0.0
1	NR0B2	0.0	0.0
1	NR1D1	16.0	0.936459
1	NR1D2	662.99964	32.946556
1	NR1H2	1635.94917	216.258783
1	NR1H3	5.0	2.289564
1	NR1H4	0.0	0.0
1	NR1H5P	0.0	0.0
1	NR1I2	5.0	0.201833
1	NR1I3	11.888177	2.481767
1	NR2C1	362.275805742	53.7397446258
1	NR2C2	614.83381	32.636669
1	NR2C2AP	45.48073	11.377258
1	NR2E1	2.0388	0.5429111
1	NR2E3	3.0	0.257603
1	NR2F1	0.0	0.0
1	NR2F2	0.0	0.0
1	NR2F6	4.56987	0.254412
1	NR3C1	1238.00020358	56.6718758651
1	NR3C2	129.999970478	8.53962901464
1	NR4A1	1946.71614414	139.482543711
1	NR4A2	2022.31669784	111.706771999
1	NR4A3	383.00002	13.976881
1	NR5A1	0.0	0.0
1	NR5A2	2.19257	0.1714898
1	NR6A1	18.5868	0.8093437
1	NRADDP	5.0	1.65814
1	NRAP	6.0	0.186165
1	NRARP	2.0	0.158745
1	NRAS	686.084	30.8106
1	NRBF2	91.0	9.83655
1	NRBF2P1	0.0	0.0
1	NRBF2P2	0.0	0.0
1	NRBF2P3	0.0	0.0
1	NRBF2P4	0.0	0.0
1	NRBF2P5	5.0	1.49831
1	NRBP1	1108.5729	121.13229
1	NRBP2	142.000127068	6.64770368096
1	NRCAM	5.0	0.2519758
1	NRD1	395.939523759	55.6701150114
1	NRDE2	247.50906	8.111088
1	NREP	39.0	3.298346
1	NRF1	276.9998	19.91941
1	NRG1	3.0	0.354048
1	NRG2	4.999995	0.2886643
1	NRG3	1.0	0.0614333
1	NRG4	34.72449	20.711998
1	NRGN	6.0	0.840223
1	NRIP1	772.0001	20.184035
1	NRIP2	66.5178	4.15718
1	NRIP3	4.326183	0.442855
1	NRK	6.0	0.216289
1	NRL	15.3082300168	1.88935000369
1	NRM	55.000057	8.403808
1	NRN1	16.1954	1.882639
1	NRN1L	6.0	1.73354
1	NRP1	50.255579676	3.73897273025
1	NRP2	22.00004	1.439761
1	NRROS	298.3864	22.60651
1	NRSN1	12.311371464	0.9830975779
1	NRSN2	79.00002	11.93076
1	NRTN	8.0	1.125
1	NRXN1	4.30091	0.739166
1	NRXN2	4.0	0.8097435
1	NRXN3	11.43328	0.6469408
1	NSA2	582.38	116.9612
1	NSD1	775.42884	27.304008
1	NSDHL	27.0	3.11093
1	NSF	974.99998	65.39229
1	NSFL1C	207.00000868	26.5850258241
1	NSFP1	0.0	0.0
1	NSL1	53.00002	5.100842
1	NSMAF	192.000001	27.650538
1	NSMCE1	45.16333	12.801913
1	NSMCE2	60.16803	18.698427
1	NSMCE4A	286.99027	46.52166
1	NSMF	1046.99986	76.369928
1	NSRP1	242.72315	46.669687
1	NSRP1P1	4.0	0.474534
1	NSUN2	773.09854	94.744568
1	NSUN3	82.95344	10.59979
1	NSUN4	273.2573	22.423265
1	NSUN5	118.84584	13.097795
1	NSUN5P1	372.46036	14.215377
1	NSUN5P2	47.89677	4.715713
1	NSUN6	84.31514	14.29283
1	NSUN7	193.99994	11.04449
1	NT5C	164.9998669	34.0492045
1	NT5C1A	1.0	0.167717
1	NT5C1B	18.00001	4.392618
1	NT5C1B-RDH14	0.0	0.0
1	NT5C2	709.840293379	129.439321199
1	NT5C3A	150.99998	28.711497
1	NT5C3AP1	0.0	0.0
1	NT5C3B	64.63537	11.389678
1	NT5CP1	0.0	0.0
1	NT5CP2	0.0	0.0
1	NT5DC1	64.99997	3.363806
1	NT5DC2	28.00001	8.210992
1	NT5DC3	199.8833	5.8777
1	NT5DC4	11.0	2.195591
1	NT5E	35.0	1.91062
1	NT5M	5.15408100194	1.31464909651
1	NTAN1	68.5967901289	18.4413200215
1	NTAN1P2	0.0	0.0
1	NTAN1P3	0.0	0.0
1	NTF3	0.0	0.0
1	NTF4	2.0	0.431922
1	NTF6A	0.0	0.0
1	NTF6B	0.0	0.0
1	NTF6G	0.0	0.0
1	NTHL1	5.0	2.170098
1	NTM	3.0	1.0890374
1	NTMT1	95.5995	17.051679
1	NTN1	10.0	0.244567
1	NTN3	1.0	0.0722635
1	NTN4	1.0	0.296565
1	NTN5	5.02217	0.391181
1	NTNG1	16.00004	1.203809
1	NTNG2	13.12926	0.446279
1	NTPCR	33.0607	2.6736062
1	NTRK1	10.20699	0.815141
1	NTRK2	1.0	0.0471099
1	NTRK3	23.495021	0.5644447
1	NTS	0.0	0.0
1	NTSR1	1.0	0.0357167
1	NTSR2	0.0	0.0
1	NUAK1	20.00005	1.450297
1	NUAK2	430.843	20.8009
1	NUB1	524.29009	74.853677
1	NUBP1	130.53344	29.587728
1	NUBP2	74.5307051805	8.97477383587
1	NUBPL	52.27039	12.23151
1	NUCB1	171.99994	24.38309
1	NUCB2	56.82598	18.854272
1	NUCKS1	1413.75238	45.5574
1	NUDC	595.25086	71.21292
1	NUDCD1	35.99994	3.136841
1	NUDCD2	195.55527	25.92724
1	NUDCD3	364.958304	20.831153
1	NUDT1	70.28459	31.04045
1	NUDT10	0.0	0.0
1	NUDT11	5.0	0.414879
1	NUDT12	1.0	0.118548
1	NUDT13	36.0000196651	9.35172184128
1	NUDT14	6.1638	1.878673
1	NUDT15	31.8446	3.00008
1	NUDT16	51.99995	1.646717
1	NUDT16L1	116.0001	12.75995
1	NUDT16P1	9.0	0.789246
1	NUDT17	36.22142	5.36465
1	NUDT18	10.0	0.940236
1	NUDT19	28.3614	1.68805
1	NUDT19P3	0.0	0.0
1	NUDT19P4	0.0	0.0
1	NUDT19P5	0.0	0.0
1	NUDT2	22.0	4.95329
1	NUDT21	471.256	59.01026
1	NUDT22	110.98969	24.49253
1	NUDT3	812.364	14.8904
1	NUDT4	320.00652	15.24893
1	NUDT4P1	0.0	0.0
1	NUDT4P2	0.0	0.0
1	NUDT5	84.5636191	10.41415686
1	NUDT6	25.4291	2.387267
1	NUDT7	2.02902	0.496599
1	NUDT8	17.99999	3.195194
1	NUDT9	60.81304	13.086249
1	NUF2	11.0	3.761574
1	NUFIP1	38.0	2.16979
1	NUFIP1P	0.0	0.0
1	NUFIP2	1258.4206	37.7314
1	NUGGC	47.7227	2.15817
1	NUMA1	1576.47025	86.423773
1	NUMB	675.123915493	58.5175684447
1	NUMBL	190.5166	20.26245
1	NUP107	467.413330813	52.5086760613
1	NUP133	779.7458	47.0412
1	NUP153	2443.995	80.3111
1	NUP155	903.13524	38.489232
1	NUP160	644.471051041	58.7303500415
1	NUP188	540.78389	56.109984
1	NUP205	1033.99982	48.90367
1	NUP210	1060.02163	26.01365
1	NUP210L	13.0000181403	0.556314633915
1	NUP210P1	0.0	0.0
1	NUP210P2	1.0	1.531086
1	NUP210P3	2.0	1.7172
1	NUP214	1102.6932201	73.5079400105
1	NUP35	43.93799	6.51101
1	NUP37	68.022759	16.54888
1	NUP43	77.08158	5.88518
1	NUP50	483.741067	37.657616
1	NUP54	645.0005	119.526012
1	NUP62	304.930449	19.4102482
1	NUP62CL	4.0	0.59012
1	NUP85	345.47527	71.07124
1	NUP88	1542.63469	338.32297
1	NUP93	204.20167	39.540024
1	NUP98	3137.0512	292.147841
1	NUPL1	2198.86612	138.379149
1	NUPL1P1	0.0	0.0
1	NUPL2	137.92791	27.25585
1	NUPR1	92.2826	7.90381
1	NUPR1L	2.0	0.703261
1	NUS1	272.0	11.479
1	NUS1P1	0.0	0.0
1	NUS1P2	0.0	0.0
1	NUS1P3	2.0	0.482513
1	NUS1P4	0.0	0.0
1	NUSAP1	27.52117	8.045215
1	NUTF2	66.99993	12.874927
1	NUTF2P2	0.0	0.0
1	NUTF2P3	0.0	0.0
1	NUTF2P4	3.0	2.65777
1	NUTF2P5	0.0	0.0
1	NUTF2P6	1.0	0.869857
1	NUTF2P7	0.0	0.0
1	NUTF2P8	0.0	0.0
1	NUTM1	4.0	0.178482
1	NUTM2A	36.75837	1.714233
1	NUTM2B	52.19206	3.156068
1	NUTM2D	53.7202	5.06921
1	NUTM2E	22.0069000423	0.949189002023
1	NUTM2F	0.0	0.0
1	NUTM2G	14.0	0.794299
1	NUTM2HP	6.32255	0.411001
1	NVL	157.838940642	17.7185633334
1	NWD1	23.0626	0.45363
1	NWD2	2.0	0.0430464
1	NXF1	2643.85844	349.92454
1	NXF2	0.5	0.0429962
1	NXF2B	0.5	0.0429962
1	NXF3	1.0	0.0774451
1	NXF4	2.0	0.102103
1	NXF5	2.0	0.194438
1	NXN	16.158219	2.559093
1	NXNL1	3.54817	0.657815
1	NXNL2	51.1583	6.487707
