NAME	B_CD5	B_Memory	B_Naive	CD4_Central_Memory	CD4_Effector_Memory	CD4_Naive	CD4_Th1	CD4_Th17	CD4_Th2	CD4_Treg	CD8_Central_Memory	CD8_Effector	CD8_Naive	
EBI3	7.752203955623564	48.181766900798394	12.39112365452683	3.1710984848201518	1.6010671921057555	2.8349020095520876	2.5724281134883213	4.1332660267113095	3.2913543561582457	4.042764518420478	4.239028849373704	2.429187745379378	7.149157805390268	
EFHC2	8.493888854888269	1.410265173887405	19.018778304658305	11.36261383489945	17.066755040032998	31.63866335503357	16.25935899201688	13.280035072563617	21.03949239921101	2.705414073780601	16.851407188600838	16.83963686548088	58.09811684642304	
EMR1	16.505585301660297	24.64115251619165	10.967293424193109	114.68376057439802	40.9942176484073	305.6180784432958	63.15299639813729	46.94782661822049	111.87683493140018	23.761494834107566	124.09927598432688	30.52270699511463	72.88876578572832	
EVI5	265.18915447590996	220.50709126538743	289.18094331945184	33.800289802974355	26.351545676953915	40.57885182237718	28.358629670132736	21.03949239921101	20.40956106349613	45.7072186872054	35.00423661686613	22.31022251684366	27.13150240048323	
FAM30A	161.00150716239781	162.86544193804858	259.7847062543813	1.0110630844868955	1.0	1.0110630844868955	1.005111879408736	1.0110630844868955	1.0110630844868955	1.0	1.0000154613598267	1.0	1.0110630844868955	
FCGR3B	1.1507234466613414	1.0	1.0	1.0	1.9022872549194612	1.0	2.166742877723695	1.0	7.974904836708318	1.0	1.0	3.736407537527284	1.9538527282753355	
FCRL2	841.7317375517337	818.6002084446932	1338.996723499234	7.276750643831785	8.908878955418391	16.25935899201688	9.852313623894632	16.25935899201688	11.214076149539265	27.13150240048323	17.17248774524147	7.698559600341741	12.996517817664332	
FOXJ1	34.26548460798601	1.7819610659296183	22.974046619609215	2.429187745379378	12.514937689736339	37.26405787057797	46.24012048786321	42.387176549188744	11.514781025398607	164.52581762679293	20.94164900231774	14.50934891040531	40.9942176484073	
FOXP3	31.039162889260794	35.82194311103571	17.690907240648407	320.6657071462969	188.28843146850872	70.76478151533794	135.0441696394596	155.0232830917547	122.99329693934077	3411.747453140086	88.05958539396745	27.738937563202636	30.07359871323897	
FYB	19.313708744759076	11.966144284644693	10.844099120749137	5627.895131342976	3728.1145932647473	7502.145156786764	4272.657857417071	5380.181881540077	4548.683432367783	3320.4790262701645	3273.09209264337	2746.894188870128	3857.6286781386666	
GIMAP5	5.292128864668648	1.014896999248674	7.276750643831785	2389.8674061531783	830.1002637576182	6188.695826891795	1204.7143943684139	1252.9677576487215	1052.8790226725407	522.5796609988015	913.6728224527512	959.0024121828867	1237.5942353565404	
GM2A	358.59570931741194	418.4543673990519	160.88512169982627	81.40049692753671	59.87590512691679	136.7652457054612	82.49538793114687	119.2786665441567	126.37869943682962	106.2700329228855	65.65117754601543	66.72645758903704	87.94647465051897	
GNG7	1255.881872188211	1843.678848634966	1615.5063938214482	36.28540269900741	32.74441536315429	103.09724355245703	33.080361510564714	48.86774486853905	44.532693589553375	35.42208770685793	55.65721579740027	36.28540269900741	61.356214972912845	
GNLY	12.736121320803187	19.696214681025136	24.958879583500103	85.43802753492568	2684.1121861549377	20.613748998625805	320.6657071462969	100.32650940023902	327.9392894560411	26.061232862978375	175.1523016166069	2980.9752377767404	418.4543673990519	
GPC4	53.29635085520545	1.014896999248674	51.82407562802597	1.0222485608121554	1.0110630844868955	1.0497828980748163	1.0222485608121554	1.0222485608121554	1.0196410596323933	1.1656434241531601	1.017114053991494	1.0119795471708326	1.0288489226550819	
GZMA	1.0	1.0	1.0	10.967293424193109	229.63722954022063	22.733047173921413	104.78610802602374	30.07359871323897	15.734186544001108	13.145806173571795	43.251836401681864	332.39607907971345	22.31022251684366	
GZMB	1.0	2.323129398723324	1.0	1.0	223.5680472964767	2.705414073780601	30.52270699511463	1.0	22.52254119355055	1.0	20.21471420961928	256.015325929149	27.738937563202636	
GZMH	2.6441998504788384	2.510859876926173	2.323129398723324	2.457239320410194	425.42549497858823	3.2913543561582457	36.28540269900741	2.8892948826360265	26.55098888393655	1.8594066857011198	35.57746246450195	637.9609537058072	50.312657185208096	
GZMM	8.522601367397545	14.336352267538478	9.266939990824898	178.05757835609018	270.52106596261524	201.34956955167843	131.53112644416595	117.7247633468407	77.19343812645332	126.37869943682962	224.07626705596138	530.7270309388928	356.5031271126897	
HLA-DOB	872.8283566515727	742.7155584513778	785.5961643213726	106.2700329228855	58.82214931511869	124.75991175545927	113.31264814859281	119.2786665441567	91.46416489054019	129.99169077959294	99.6261210308603	60.52926713389548	73.95288320547922	
HLA-DQA1	4410.670644892427	3492.768502191654	4548.683432367783	609.9851671809153	620.7341435296626	661.6448933256904	720.0414944268281	620.7341435296626	550.4376802378845	1222.6490216833677	877.9042010735164	852.478838570791	691.2985414951736	
ICOS	1.0678115136219235	1.0382243133346107	1.0475953887047968	1913.7844127410613	892.5418219746366	1322.1866952602709	919.7785670241227	764.0053863316652	661.6448933256904	2499.1369731450636	1281.7842917921594	465.29587633503013	315.6755858432743	
IFNG	2.2909491235314734	1.4910461278202536	2.5916821703729207	50.312657185208096	108.76147316205214	5.284093942701201	175.37574375070557	11.214076149539265	8.583141581597172	7.812719993768383	17.45676303611125	91.46416489054019	10.252328648788035	
IGHA1	493.786716814071	5627.895131342976	565.3830735909418	1.0438434964897678	1.0288903514734864	4.1332660267113095	1.0438434964897678	1.0475953887047968	11.082742396683322	3.736407537527284	1.2049106935324427	1.0402311652106666	1.0475953887047968	
IGHG1	548.2860440033537	6592.904323098463	1108.8059262121033	4.89664583150728	1.5232040643150244	10.844099120749137	4.596654055249709	1.0847317891073274	4.336344012201595	17.24611984223412	2.6728809432391305	2.8892948826360265	3.519259004018883	
IGHJ2P	8.11388348587603	5.905699111332145	9.760272692972615	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
IGHM	4914.923723913378	2292.6476216851665	6188.695826891795	1.9022872549194612	1.0	6.505231354154725	8.484846024201099	1.0110630844868955	1.819783737326747	1.0	5.5509427047022175	1.0000309227196533	1.0110630844868955	
IGKC	4418.9263347253745	3609.553577937382	3728.1145932647473	1.0222485608121554	1.0110630844868955	10.252328648788035	1.0110901841260795	1.0222485608121554	19.25512908305223	2.5724281134883213	7.2838572790756775	1.0110630844868955	1.0288489226550819	
IGLJ2	9.017471028668322	7.974904836708318	5.675816009782451	1.0586670375255083	1.0402311652106666	1.0640640640158312	1.0497828980748163	1.0640640640158312	1.0566962653583694	1.0402311652106666	1.0402325713317035	1.0390287632146882	1.0640640779939146	
IL12RB2	12.599504738697725	25.249925902257893	27.13150240048323	71.93337651030666	64.00576712361362	21.294323566537177	89.05951294494517	79.12048694502451	7.698559600341741	223.5680472964767	27.87735784038164	33.080361510564714	26.55098888393655	
IL17A	1.0299360661239167	1.0146227261620564	1.0222485608121554	1.0288489226550819	1.3431909484957631	1.0288489226550819	1.0222485608121554	7.906544154889478	1.0250206164966402	1.0119795471708326	1.0185727800304147	1.0196410596323933	1.0288489226550819	
IL5RA	8.444946079660857	12.123387098017961	5.189935610604522	5.284093942701201	19.018778304658305	8.382336581259034	21.98047389803246	8.382336581259034	51.82407562802597	3.872076410973626	13.358808972569804	7.698559600341741	9.965650280015808	
KCNG1	27.40373778315923	14.946680828607413	53.23692521548447	7.043595617801133	7.4993739707837355	10.398752282342716	13.571811771567814	13.778704667992262	7.043595617801133	8.908878955418391	8.040448090800387	11.214076149539265	12.123387098017961	
