Linux 3.16.0-4-amd64 (process-err431624-7ssxz) 	07/31/16 	_x86_64_	(4 CPU)

19:32:34        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
19:33:21          1      4.61      0.00      0.00     95.39      0.00      0.00      0.00      0.00      0.00      0.00
19:33:21          2      0.00      0.00      0.67      0.00      0.00      0.00      0.00      0.00      0.00     99.33
19:33:21          3      0.66      0.00      1.32      0.00      0.00      0.00      0.66      0.00      0.00     97.37
19:33:22        all     19.10      0.00      2.76      8.04      0.00      0.00      0.00      0.00      0.00     70.10
19:33:22          0     10.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00      0.00     86.00
19:33:22          1     63.73      0.00      4.90     31.37      0.00      0.00      0.00      0.00      0.00      0.00
19:33:22          2      1.01      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     98.99
19:33:22          3      0.00      0.00      2.08      0.00      0.00      0.00      0.00      0.00      0.00     97.92
19:33:23        all      1.00      0.00      0.50     24.94      0.00      0.00      0.00      0.00      0.00     73.57
19:33:23          0      0.99      0.00      0.99      0.00      0.00      0.00      0.00      0.00      0.00     98.02
19:33:23          1      0.00      0.00      0.00    100.00      0.00      0.00      0.00      0.00      0.00      0.00
19:33:23          2      0.99      0.00      0.99      0.00      0.00      0.00      0.00      0.00      0.00     98.02
19:33:23          3      1.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     98.00
19:33:24        all      2.99      0.00      1.00     23.19      0.00      0.00      0.25      0.00      0.00     72.57
19:33:24          0      0.99      0.00      0.99      0.00      0.00      0.00      0.99      0.00      0.00     97.03
19:33:24          1      7.92      0.00      0.00     92.08      0.00      0.00      0.00      0.00      0.00      0.00
19:33:24          2      2.97      0.00      0.99      0.00      0.00      0.00      0.00      0.00      0.00     96.04
19:33:24          3      1.01      0.00      1.01      0.00      0.00      0.00      1.01      0.00      0.00     96.97
19:33:25        all     29.08      0.00      5.10      0.00      0.00      0.00      0.26      0.00      0.00     65.56
19:33:25          0     10.31      0.00      4.12      0.00      0.00      0.00      0.00      0.00      0.00     85.57
19:33:25          1     95.05      0.00      4.95      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:33:25          2      4.04      0.00      3.03      0.00      0.00      0.00      0.00      0.00      0.00     92.93
19:33:25          3      5.26      0.00      8.42      0.00      0.00      0.00      1.05      0.00      0.00     85.26
19:33:26        all     24.37      0.00      2.51      3.27      0.00      0.00      0.00      0.00      0.00     69.85
19:33:26          0      8.25      0.00      5.15      0.00      0.00      0.00      0.00      0.00      0.00     86.60
19:33:26          1     85.00      0.00      3.00     12.00      0.00      0.00      0.00      0.00      0.00      0.00
19:33:26          2      1.01      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     98.99
19:33:26          3      1.01      0.00      2.02      0.00      0.00      0.00      0.00      0.00      0.00     96.97
19:33:28        all      0.50      0.00      0.74     24.57      0.00      0.00      0.00      0.00      0.00     74.19
19:33:28          0      0.00      0.00      0.99      0.00      0.00      0.00      0.00      0.00      0.00     99.01
19:33:28          1      0.99      0.00      0.00     99.01      0.00      0.00      0.00      0.00      0.00      0.00
19:33:28          2      0.00      0.00      0.99      0.00      0.00      0.00      0.00      0.00      0.00     99.01
19:33:28          3      0.99      0.00      0.99      0.00      0.00      0.00      0.00      0.00      0.00     98.02
19:33:29        all      0.50      0.00      0.25     24.88      0.00      0.00      0.00      0.00      0.00     74.38
19:33:29          0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
19:33:29          1      0.99      0.00      0.00     99.01      0.00      0.00      0.00      0.00      0.00      0.00
19:33:29          2      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     99.00
19:33:29          3      0.99      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     99.01
19:33:30        all     15.25      0.00      3.00     11.25      0.00      0.00      0.25      0.00      0.00     70.25
19:33:30          0      6.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00      0.00     90.00
19:33:30          1     53.54      0.00      2.02     44.44      0.00      0.00      0.00      0.00      0.00      0.00
19:33:30          2      0.99      0.00      2.97      0.00      0.00      0.00      0.00      0.00      0.00     96.04
19:33:30          3      0.00      0.00      4.04      0.00      0.00      0.00      0.00      0.00      0.00     95.96

19:33:30        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
19:33:31        all     27.14      0.00      3.52      0.00      0.00      0.00      0.00      0.00      0.00     69.35
19:33:31          0      7.29      0.00      6.25      0.00      0.00      0.00      0.00      0.00      0.00     86.46
